Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
0290.ls, 2.48, 5.0, 0.0, 1.0
0291.ls, 3.2, 9.0, 1.0, 0.0
0292.ls, 2.5238094, 6.0, 1.0, 0.0
0293.ls, 2.4166667, 4.0, 0.0, 1.0
0294.ls, 3.3333333, 7.0, 1.0, 0.0
0295.ls, 2.8636363, 7.0, 1.0, 0.0
0296.ls, 3.2142856, 10.0, 1.0, 0.0
0297.ls, 3.0384614, 6.0, 1.0, 0.0
0298.ls, 3.1666667, 7.0, 1.0, 0.0
0299.ls, 3.2380953, 10.0, 1.0, 0.0
0300.ls, 2.5454545, 5.0, 1.0, 0.0
